jenis_kelamin,usia,pendidikan,pekerjaan,penghasilan,domisili,durasi_internet,aktivitas_online_meningkat,layanan_aktif_1,layanan_aktif_2,layanan_aktif_3,layanan_aktif_4,layanan_aktif_5,layanan_aktif_6,bank_1,bank_2,bank_3,bank_4,bank_5,bank_6,bank_7,freq_atm,freq_internet_bank,freq_mobile_bank,freq_sms_bank,freq_cabang,fitur_cekSaldo,fitur_mutasi,fitur_transfer_sesamabank,fitur_transfer_antarbank,fitur_pulsa,fitur_tagihan,keluhan_1,keluhan_2,keluhan3
,,,,,,,,Mobile Banking,,,,,,,,,,Bank BRI,,,2-5 kali per bulan,,> 10 kali per bulan,,,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,Proses tidak berhasil namun saldo terpotong,
,,,,,,,,Mobile Banking,ATM,Kartu Kredit,,Datang ke Kantor Cabang,,Bank BNI,,Bank BCA,,,,,> 10 kali per bulan,Tidak Pernah,> 10 kali per bulan,Tidak Pernah,Kurang dari/ setidaknya 1 kali per bulan,Mobile Banking,Datang ke cabang bank,Mobile Banking,ATM,Mobile Banking,Datang ke cabang bank,Layanan/ Sistem down,,
,,,,,,,,,,,Internet Banking,,,,,Bank BCA,,,,,Kurang dari/ setidaknya 1 kali per bulan,2-5 kali per bulan,Tidak Pernah,Tidak Pernah,Tidak Pernah,Internet Banking,Internet Banking,Internet Banking,Internet Banking,Internet Banking,Internet Banking,Layanan/ Sistem down,,
,,,,,,,,Mobile Banking,ATM,,,,,,,Bank BCA,,,,,2-5 kali per bulan,,> 10 kali per bulan,,,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
,,,,,,,,Mobile Banking,ATM,,Internet Banking,,,Bank BNI,,Bank BCA,Bank CIMB Niaga,,,,,Kurang dari/ setidaknya 1 kali per bulan,Kurang dari/ setidaknya 1 kali per bulan,,,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
,,,,,,,,,ATM,,,,,,,,,Bank BRI,,,2-5 kali per bulan,,,,,ATM,,,,ATM,,,,
,,,,,,,,Mobile Banking,ATM,,,,,,Bank Mandiri,Bank BCA,,,,,6-9 kali per bulan,> 10 kali per bulan,> 10 kali per bulan,Tidak Pernah,Kurang dari/ setidaknya 1 kali per bulan,Mobile Banking,Mobile Banking,Mobile Banking,Internet Banking,Internet Banking,Internet Banking,Layanan/ Sistem down,Proses tidak berhasil namun saldo terpotong,
,,,,,,,,Mobile Banking,ATM,,,Datang ke Kantor Cabang,,Bank BNI,,Bank BCA,,,,,> 10 kali per bulan,> 10 kali per bulan,> 10 kali per bulan,,Kurang dari/ setidaknya 1 kali per bulan,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,,,
,,,,,,,,Mobile Banking,,,,,,,Bank Mandiri,,,,,,2-5 kali per bulan,,> 10 kali per bulan,,,Mobile Banking,,Mobile Banking,Mobile Banking,,Mobile Banking,,,
,,,,,,,,Mobile Banking,,,,,,,,Bank BCA,,,,,Kurang dari/ setidaknya 1 kali per bulan,Kurang dari/ setidaknya 1 kali per bulan,Kurang dari/ setidaknya 1 kali per bulan,Kurang dari/ setidaknya 1 kali per bulan,Kurang dari/ setidaknya 1 kali per bulan,Internet Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
,,,,,,,,Mobile Banking,,,,,,Bank BNI,,Bank BCA,,,,,Kurang dari/ setidaknya 1 kali per bulan,,> 10 kali per bulan,,,Mobile Banking,Mobile Banking,Mobile Banking,,,,Layanan/ Sistem down,,
,,,,,,,,Mobile Banking,,,,,,Bank BNI,,,,,,,,,6-9 kali per bulan,,,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
,,,,,,,,Mobile Banking,,,,,,,,,,,,,,,2-5 kali per bulan,,,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
,,,,,,,,Mobile Banking,,,,,,,,Bank BCA,,,,,,,> 10 kali per bulan,,,,,Mobile Banking,,,,Layanan/ Sistem down,,
,,,,,,,,,ATM,,,,,,,Bank BCA,,,,,2-5 kali per bulan,2-5 kali per bulan,2-5 kali per bulan,2-5 kali per bulan,2-5 kali per bulan,ATM,Internet Banking,ATM,Internet Banking,ATM,Internet Banking,Layanan/ Sistem down,,
,,,,,,,,Mobile Banking,ATM,,,Datang ke Kantor Cabang,,Bank BNI,,,,,,,2-5 kali per bulan,Tidak Pernah,> 10 kali per bulan,Tidak Pernah,Kurang dari/ setidaknya 1 kali per bulan,Mobile Banking,Datang ke cabang bank,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,,Proses tidak berhasil namun saldo terpotong,
,,,,,,,,,ATM,,Internet Banking,,,,,Bank BCA,,,,,2-5 kali per bulan,> 10 kali per bulan,,,,Internet Banking,Internet Banking,Internet Banking,Internet Banking,,,Layanan/ Sistem down,,
,,,,,,,,Mobile Banking,,,,,,,,Bank BCA,,,,,> 10 kali per bulan,Tidak Pernah,> 10 kali per bulan,Kurang dari/ setidaknya 1 kali per bulan,,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
,,,,,,,,Mobile Banking,,,,,,,,Bank BCA,,,,Bank Permata,> 10 kali per bulan,Kurang dari/ setidaknya 1 kali per bulan,> 10 kali per bulan,,,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
,,,,,,,,Mobile Banking,,,,,,,,Bank BCA,,,,,2-5 kali per bulan,2-5 kali per bulan,2-5 kali per bulan,,,Mobile Banking,,Mobile Banking,Mobile Banking,Mobile Banking,,Layanan/ Sistem down,,Transaksi / pembayaran yang sama terjadi dua kali
,,,,,,,,Mobile Banking,,,,,,,Bank Mandiri,,,,,,,,> 10 kali per bulan,,,,,Mobile Banking,,,,Layanan/ Sistem down,,
,,,,,,,,Mobile Banking,ATM,,Internet Banking,,,,,Bank BCA,,,,,6-9 kali per bulan,6-9 kali per bulan,> 10 kali per bulan,,,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
,,,,,,,,,ATM,,,,,,,,,Bank BRI,,,2-5 kali per bulan,,,,,ATM,Datang ke cabang bank,ATM,ATM,Mobile Banking,Mobile Banking,Layanan/ Sistem down,Proses tidak berhasil namun saldo terpotong,
,,,,,,,,Mobile Banking,ATM,,Internet Banking,,,,,Bank BCA,Bank CIMB Niaga,,Bank BTN,,6-9 kali per bulan,6-9 kali per bulan,2-5 kali per bulan,,,ATM,Datang ke cabang bank,Internet Banking,ATM,Internet Banking,Datang ke cabang bank,Layanan/ Sistem down,,
,,,,,,,,Mobile Banking,,,,,,,Bank Mandiri,,,,,,Kurang dari/ setidaknya 1 kali per bulan,Kurang dari/ setidaknya 1 kali per bulan,6-9 kali per bulan,Kurang dari/ setidaknya 1 kali per bulan,Kurang dari/ setidaknya 1 kali per bulan,Mobile Banking,Mobile Banking,,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
,,,,,,,,Mobile Banking,ATM,,,,,Bank BNI,,,,,,,6-9 kali per bulan,,> 10 kali per bulan,,,Mobile Banking,Mobile Banking,ATM,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
,,,,,,,,Mobile Banking,,,,,,,Bank Mandiri,,,Bank BRI,,,2-5 kali per bulan,,> 10 kali per bulan,,,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
,,,,,,,,Mobile Banking,ATM,,,,,,,,,Bank BRI,,,2-5 kali per bulan,,6-9 kali per bulan,,,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
,,,,,,,,,,,Internet Banking,,,,,Bank BCA,,,,,6-9 kali per bulan,> 10 kali per bulan,,,,Internet Banking,Internet Banking,Internet Banking,Internet Banking,ATM,ATM,,,
,,,,,,,,,ATM,,Internet Banking,,,,,Bank BCA,,,,,6-9 kali per bulan,,,,,Internet Banking,Internet Banking,Internet Banking,Internet Banking,Internet Banking,Internet Banking,Layanan/ Sistem down,,
,,,,,,,,Mobile Banking,ATM,,,,,,,Bank BCA,,,,,Kurang dari/ setidaknya 1 kali per bulan,,> 10 kali per bulan,,,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
,,,,,,,,Mobile Banking,ATM,,,,,,Bank Mandiri,,,,,,2-5 kali per bulan,,> 10 kali per bulan,,,Mobile Banking,,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
,,,,,,,,,ATM,,,,,Bank BNI,,,,,,,Kurang dari/ setidaknya 1 kali per bulan,,,,,,,,,ATM,,,,
,,,,,,,,Mobile Banking,ATM,,,,,,Bank Mandiri,,,,,,2-5 kali per bulan,,> 10 kali per bulan,,Kurang dari/ setidaknya 1 kali per bulan,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
,,,,,,,,Mobile Banking,,,,,,,,Bank BCA,,,,,,,2-5 kali per bulan,,,Mobile Banking,,Mobile Banking,,,,,,
,,,,,,,,,ATM,,Internet Banking,,,Bank BNI,,,,,,,> 10 kali per bulan,2-5 kali per bulan,,,,Internet Banking,Internet Banking,Internet Banking,Internet Banking,Internet Banking,Internet Banking,Layanan/ Sistem down,,
,,,,,,,,Mobile Banking,,,,,,,,Bank BCA,,,,,,,2-5 kali per bulan,,,Mobile Banking,,,Mobile Banking,,,,,
,,,,,,,,Mobile Banking,ATM,,,,,,,Bank BCA,,,,,> 10 kali per bulan,,> 10 kali per bulan,,,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
,,,,,,,,,ATM,,,,,Bank BNI,,,,,,,> 10 kali per bulan,,,,,,,ATM,ATM,,,Layanan/ Sistem down,,
,,,,,,,,Mobile Banking,,,,,,,Bank Mandiri,Bank BCA,,,,,,,> 10 kali per bulan,,,Mobile Banking,,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,,Proses tidak berhasil namun saldo terpotong,
,,,,,,,,Mobile Banking,ATM,,,,,Bank BNI,,,,,,,2-5 kali per bulan,,6-9 kali per bulan,,,Mobile Banking,,Mobile Banking,Mobile Banking,,,Layanan/ Sistem down,,
,,,,,,,,Mobile Banking,ATM,,,,,,Bank Mandiri,,,,,,2-5 kali per bulan,,2-5 kali per bulan,,,Mobile Banking,,,,,,Layanan/ Sistem down,,
,,,,,,,,,ATM,,Internet Banking,,,Bank BNI,,,,,,,2-5 kali per bulan,2-5 kali per bulan,,,,Internet Banking,Internet Banking,ATM,ATM,ATM,ATM,Layanan/ Sistem down,Proses tidak berhasil namun saldo terpotong,
,,,,,,,,,ATM,,Internet Banking,Datang ke Kantor Cabang,,Bank BNI,Bank Mandiri,,,,,,> 10 kali per bulan,> 10 kali per bulan,> 10 kali per bulan,,Kurang dari/ setidaknya 1 kali per bulan,Mobile Banking,,ATM,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
,,,,,,,,,,,Internet Banking,,,,Bank Mandiri,,,,,,6-9 kali per bulan,> 10 kali per bulan,> 10 kali per bulan,,,Mobile Banking,Internet Banking,Mobile Banking,Internet Banking,Mobile Banking,Internet Banking,Layanan/ Sistem down,,
,,,,,,,,Mobile Banking,ATM,,,,,,,Bank BCA,,,,,2-5 kali per bulan,,> 10 kali per bulan,,,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
,,,,,,,,,ATM,,,,,,,,,Bank BRI,,,2-5 kali per bulan,,2-5 kali per bulan,,,,,Mobile Banking,,ATM,,Layanan/ Sistem down,,
,,,,,,,,Mobile Banking,,,,,,,,,,,,,2-5 kali per bulan,,2-5 kali per bulan,,,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
,,,,,,,,,,Kartu Kredit,,,,,,,,,,,,,2-5 kali per bulan,,,,,Mobile Banking,Mobile Banking,,,,,
,,,,,,,,Mobile Banking,ATM,,,,,Bank BNI,,Bank BCA,,,,,2-5 kali per bulan,,> 10 kali per bulan,,,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
,,,,,,,,Mobile Banking,,,,,,,,,,Bank BRI,,,,,6-9 kali per bulan,,,Internet Banking,Internet Banking,Internet Banking,Internet Banking,Internet Banking,Internet Banking,Layanan/ Sistem down,,
,,,,,,,,Mobile Banking,ATM,,Internet Banking,,,Bank BNI,Bank Mandiri,,Bank CIMB Niaga,Bank BRI,,,Kurang dari/ setidaknya 1 kali per bulan,Kurang dari/ setidaknya 1 kali per bulan,> 10 kali per bulan,Kurang dari/ setidaknya 1 kali per bulan,Kurang dari/ setidaknya 1 kali per bulan,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,,Proses tidak berhasil namun saldo terpotong,
,,,,,,,,Mobile Banking,ATM,,,,,,,Bank BCA,,,,,> 10 kali per bulan,,> 10 kali per bulan,,,ATM,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,,,
,,,,,,,,Mobile Banking,,,,,,Bank BNI,Bank Mandiri,,,,,,,,> 10 kali per bulan,,,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,,Layanan/ Sistem down,,
,,,,,,,,Mobile Banking,ATM,,,,,Bank BNI,,,,,,,Kurang dari/ setidaknya 1 kali per bulan,,2-5 kali per bulan,Kurang dari/ setidaknya 1 kali per bulan,,Mobile Banking,ATM,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
,,,,,,,,Mobile Banking,ATM,,,,,,Bank Mandiri,,,,,,2-5 kali per bulan,,6-9 kali per bulan,,,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,,,
,,,,,,,,Mobile Banking,ATM,,,,,,,Bank BCA,,,,,2-5 kali per bulan,,> 10 kali per bulan,,,Mobile Banking,,Mobile Banking,,,Mobile Banking,,,
,,,,,,,,,ATM,,,,,,,Bank BCA,,,,,2-5 kali per bulan,,,,,,ATM,,,,,Layanan/ Sistem down,,
,,,,,,,,Mobile Banking,ATM,Kartu Kredit,Internet Banking,,SMS Banking,,,,,Bank BRI,,,6-9 kali per bulan,> 10 kali per bulan,6-9 kali per bulan,6-9 kali per bulan,Kurang dari/ setidaknya 1 kali per bulan,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,Transaksi / pembayaran yang sama terjadi dua kali
,,,,,,,,Mobile Banking,ATM,,,,,,,Bank BCA,,,,,Kurang dari/ setidaknya 1 kali per bulan,,6-9 kali per bulan,,,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
,,,,,,,,Mobile Banking,,,,,,,,Bank BCA,,,,,,,2-5 kali per bulan,,,,Mobile Banking,Mobile Banking,Mobile Banking,,,,,
,,,,,,,,Mobile Banking,ATM,,Internet Banking,,,,,Bank BCA,,,,,2-5 kali per bulan,> 10 kali per bulan,> 10 kali per bulan,,,Mobile Banking,Mobile Banking,Mobile Banking,Internet Banking,Mobile Banking,Internet Banking,Layanan/ Sistem down,,
,,,,,,,,Mobile Banking,ATM,Kartu Kredit,,,,Bank BNI,Bank Mandiri,Bank BCA,Bank CIMB Niaga,Bank BRI,,,2-5 kali per bulan,,> 10 kali per bulan,,,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
,,,,,,,,,ATM,,Internet Banking,,,,Bank Mandiri,Bank BCA,,,,,> 10 kali per bulan,,6-9 kali per bulan,,,Mobile Banking,,ATM,ATM,,Mobile Banking,Layanan/ Sistem down,Proses tidak berhasil namun saldo terpotong,
,,,,,,,,,ATM,,Internet Banking,,,,Bank Mandiri,,,,,,Kurang dari/ setidaknya 1 kali per bulan,6-9 kali per bulan,,,,Internet Banking,,Internet Banking,Internet Banking,ATM,ATM,Layanan/ Sistem down,,
,,,,,,,,Mobile Banking,,Kartu Kredit,,,,Bank BNI,Bank Mandiri,,,,,,2-5 kali per bulan,Kurang dari/ setidaknya 1 kali per bulan,> 10 kali per bulan,Tidak Pernah,Kurang dari/ setidaknya 1 kali per bulan,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
,,,,,,,,Mobile Banking,,,,,,,,Bank BCA,,,,,Kurang dari/ setidaknya 1 kali per bulan,Tidak Pernah,6-9 kali per bulan,Tidak Pernah,Tidak Pernah,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
,,,,,,,,Mobile Banking,ATM,,Internet Banking,,,,,Bank BCA,,,,,> 10 kali per bulan,> 10 kali per bulan,> 10 kali per bulan,Tidak Pernah,Tidak Pernah,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
,,,,,,,,Mobile Banking,,,,,,,Bank Mandiri,,,,,,,,> 10 kali per bulan,,,,,ATM,,,,Layanan/ Sistem down,,
,,,,,,,,Mobile Banking,ATM,,,,,,,Bank BCA,,,,,Kurang dari/ setidaknya 1 kali per bulan,> 10 kali per bulan,> 10 kali per bulan,Tidak Pernah,Kurang dari/ setidaknya 1 kali per bulan,,,,,,,Layanan/ Sistem down,,
,,,,,,,,Mobile Banking,,,Internet Banking,,,,,,,Bank BRI,,,Kurang dari/ setidaknya 1 kali per bulan,6-9 kali per bulan,2-5 kali per bulan,,,Internet Banking,Internet Banking,Internet Banking,ATM,Internet Banking,ATM,Layanan/ Sistem down,,
,,,,,,,,Mobile Banking,,,,Datang ke Kantor Cabang,,,,Bank BCA,Bank CIMB Niaga,,,,2-5 kali per bulan,,> 10 kali per bulan,,> 10 kali per bulan,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
,,,,,,,,Mobile Banking,ATM,Kartu Kredit,,,,Bank BNI,Bank Mandiri,Bank BCA,,,,,> 10 kali per bulan,,> 10 kali per bulan,,,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
,,,,,,,,Mobile Banking,,,,,,,Bank Mandiri,Bank BCA,,,,,2-5 kali per bulan,,> 10 kali per bulan,,,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,,,
,,,,,,,,Mobile Banking,ATM,,Internet Banking,,,,,Bank BCA,,Bank BRI,,,2-5 kali per bulan,> 10 kali per bulan,> 10 kali per bulan,,,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,ATM,,Proses tidak berhasil namun saldo terpotong,
,,,,,,,,,,,Internet Banking,,,,,Bank BCA,,,,Bank Permata,2-5 kali per bulan,> 10 kali per bulan,Kurang dari/ setidaknya 1 kali per bulan,2-5 kali per bulan,Kurang dari/ setidaknya 1 kali per bulan,Internet Banking,Internet Banking,Internet Banking,Internet Banking,Internet Banking,Internet Banking,Layanan/ Sistem down,,
,,,,,,,,Mobile Banking,ATM,,,,,,,Bank BCA,,,,,6-9 kali per bulan,Tidak Pernah,> 10 kali per bulan,Tidak Pernah,Tidak Pernah,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
,,,,,,,,,ATM,,,,,Bank BNI,,,,,,,2-5 kali per bulan,,,,,ATM,,ATM,ATM,ATM,,Layanan/ Sistem down,,
,,,,,,,,,ATM,,Internet Banking,,,,,Bank BCA,,,,,6-9 kali per bulan,> 10 kali per bulan,,,,Internet Banking,Internet Banking,Internet Banking,ATM,Internet Banking,Internet Banking,Layanan/ Sistem down,,
,,,,,,,,Mobile Banking,ATM,,Internet Banking,Datang ke Kantor Cabang,,,Bank Mandiri,,,,,,2-5 kali per bulan,Kurang dari/ setidaknya 1 kali per bulan,2-5 kali per bulan,Tidak Pernah,Kurang dari/ setidaknya 1 kali per bulan,Mobile Banking,Datang ke cabang bank,Mobile Banking,Mobile Banking,Internet Banking,Internet Banking,Layanan/ Sistem down,,
,,,,,,,,,ATM,,,,,,,Bank BCA,,,,,2-5 kali per bulan,,,,,,,,ATM,,,,Proses tidak berhasil namun saldo terpotong,
,,,,,,,,Mobile Banking,ATM,,,,,,,Bank BCA,,,,,2-5 kali per bulan,Tidak Pernah,> 10 kali per bulan,Tidak Pernah,Tidak Pernah,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
,,,,,,,,Mobile Banking,ATM,,,,,,Bank Mandiri,,,,,,2-5 kali per bulan,,6-9 kali per bulan,,,Mobile Banking,,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Layanan/ Sistem down,,
,,,,,,,,Mobile Banking,ATM,,,,,,,Bank BCA,,,,,Kurang dari/ setidaknya 1 kali per bulan,,6-9 kali per bulan,,,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,Mobile Banking,,,
,,,,,,,,Mobile Banking,,,,,,,,Bank BCA,,,,Bank Permata,> 10 kali per bulan,> 10 kali per bulan,> 10 kali per bulan,,Kurang dari/ setidaknya 1 kali per bulan,Mobile Banking,Internet Banking,Mobile Banking,Mobile Banking,,Mobile Banking,Layanan/ Sistem down,,
